ID,FaceID,FirstRating,GroupRating,SecondRating,Feedback,Change,Condition
1,10,7,4,5,-3,-2,Pre
1,11,5,2,6,-3,1,Pre
1,12,5,7,6,2,1,Pre
1,13,5,7,5,2,0,Pre
1,14,4,2,5,-2,1,Pre
1,15,5,5,5,0,0,Pre
1,16,5,2,5,-3,0,Pre
1,17,5,8,5,3,0,Pre
1,18,6,4,4,-2,-2,Pre
1,19,6,6,6,0,0,Pre
1,2,5,5,6,0,1,Pre
1,20,7,0,6,NA,-1,Pre
1,21,4,1,4,-3,0,Pre
1,22,3,5,4,2,1,Pre
1,23,6,3,5,-3,-1,Pre
1,24,4,2,5,-2,1,Pre
1,25,5,7,5,2,0,Pre
1,26,5,3,6,-2,1,Pre
1,27,5,2,5,-3,0,Pre
1,28,5,8,5,3,0,Pre
1,29,7,4,6,-3,-1,Pre
1,3,5,7,5,2,0,Pre
1,30,6,3,5,-3,-1,Pre
1,31,7,0,6,NA,-1,Pre
1,32,5,2,6,-3,1,Pre
1,33,5,3,5,-2,0,Pre
1,34,5,5,5,0,0,Pre
1,35,5,3,6,-2,1,Pre
1,36,6,4,5,-2,-1,Pre
1,37,6,8,5,2,-1,Pre
1,38,7,4,6,-3,-1,Pre
1,39,3,5,3,2,0,Pre
1,4,5,8,5,3,0,Pre
1,40,5,8,6,3,1,Pre
1,41,6,8,4,2,-2,Pre
1,42,6,4,5,-2,-1,Pre
1,43,5,5,5,0,0,Pre
1,44,4,6,6,2,2,Pre
1,45,6,4,6,-2,0,Pre
1,46,6,4,6,-2,0,Pre
1,47,5,7,5,2,0,Pre
1,48,3,6,5,3,2,Pre
1,49,3,3,5,0,2,Pre
1,5,6,4,5,-2,-1,Pre
1,50,5,0,6,NA,1,Pre
1,51,5,0,4,NA,-1,Pre
1,52,5,3,5,-2,0,Pre
1,53,5,0,5,NA,0,Pre
1,54,6,8,6,2,0,Pre
1,55,8,8,6,0,-2,Pre
1,56,8,0,5,NA,-3,Pre
1,57,5,8,6,3,1,Pre
1,58,6,0,6,NA,0,Pre
1,59,7,4,5,-3,-2,Pre
1,6,5,8,5,3,0,Pre
1,60,3,1,5,-2,2,Pre
1,61,4,1,5,-3,1,Pre
1,62,4,6,5,2,1,Pre
1,63,4,2,4,-2,0,Pre
1,64,6,0,5,NA,-1,Pre
1,65,4,7,5,3,1,Pre
1,66,4,2,4,-2,0,Pre
1,67,6,8,6,2,0,Pre
1,68,5,7,5,2,0,Pre
1,69,5,2,6,-3,1,Pre
1,7,2,4,4,2,2,Pre
1,70,4,6,6,2,2,Pre
1,71,6,3,5,-3,-1,Pre
1,72,4,2,6,-2,2,Pre
1,73,4,6,4,2,0,Pre
1,74,5,5,6,0,1,Pre
1,75,5,8,6,3,1,Pre
1,76,4,1,4,-3,0,Pre
1,77,3,0,3,NA,0,Pre
1,78,4,2,4,-2,0,Pre
1,79,6,6,5,0,-1,Pre
1,8,4,1,5,-3,1,Pre
1,80,4,7,4,3,0,Pre
1,81,4,4,5,0,1,Pre
1,9,5,0,6,NA,1,Pre
10,10,3,0,3,NA,0,Pre
10,11,5,2,5,-3,0,Pre
10,12,3,3,3,0,0,Pre
10,13,2,4,2,2,0,Pre
10,14,4,2,3,-2,-1,Pre
10,15,3,6,4,3,1,Pre
10,16,2,5,2,3,0,Pre
10,17,4,1,3,-3,-1,Pre
10,18,5,5,6,0,1,Pre
10,19,3,5,3,2,0,Pre
10,2,7,4,4,-3,-3,Pre
10,20,6,4,6,-2,0,Pre
10,21,2,4,3,2,1,Pre
10,22,3,3,3,0,0,Pre
10,23,6,0,4,NA,-2,Pre
10,24,3,1,6,-2,3,Pre
10,25,6,6,4,0,-2,Pre
10,26,4,6,5,2,1,Pre
10,27,4,6,3,2,-1,Pre
10,28,3,5,4,2,1,Pre
10,29,6,0,7,NA,1,Pre
10,3,1,3,2,2,1,Pre
10,30,4,4,4,0,0,Pre
10,31,2,2,4,0,2,Pre
10,32,7,0,5,NA,-2,Pre
10,33,3,5,3,2,0,Pre
10,34,6,0,3,NA,-3,Pre
10,35,6,3,6,-3,0,Pre
10,36,2,5,2,3,0,Pre
10,37,4,4,4,0,0,Pre
10,38,3,1,3,-2,0,Pre
10,39,2,0,2,NA,0,Pre
10,4,4,2,3,-2,-1,Pre
10,40,3,3,5,0,2,Pre
10,41,6,4,5,-2,-1,Pre
10,42,5,5,4,0,-1,Pre
10,43,4,4,6,0,2,Pre
10,44,2,4,2,2,0,Pre
10,45,7,7,7,0,0,Pre
10,46,4,6,4,2,0,Pre
10,47,6,3,6,-3,0,Pre
10,48,6,4,6,-2,0,Pre
10,49,2,4,2,2,0,Pre
10,5,5,3,4,-2,-1,Pre
10,50,4,1,4,-3,0,Pre
10,51,4,4,3,0,-1,Pre
10,52,6,4,4,-2,-2,Pre
10,53,5,3,4,-2,-1,Pre
10,54,2,4,4,2,2,Pre
10,55,6,0,5,NA,-1,Pre
10,56,6,6,5,0,-1,Pre
10,57,5,8,5,3,0,Pre
10,58,3,1,3,-2,0,Pre
10,59,6,8,5,2,-1,Pre
10,6,3,1,3,-2,0,Pre
10,60,3,3,2,0,-1,Pre
10,61,4,0,5,NA,1,Pre
10,62,1,4,1,3,0,Pre
10,63,4,1,4,-3,0,Pre
10,64,3,6,4,3,1,Pre
10,65,3,3,4,0,1,Pre
10,66,5,2,5,-3,0,Pre
10,67,6,8,6,2,0,Pre
10,68,3,3,5,0,2,Pre
10,69,6,8,3,2,-3,Pre
10,7,3,5,4,2,1,Pre
10,70,3,5,3,2,0,Pre
10,71,7,5,7,-2,0,Pre
10,72,6,8,5,2,-1,Pre
10,73,1,4,1,3,0,Pre
10,74,5,3,3,-2,-2,Pre
10,75,6,8,6,2,0,Pre
10,76,4,0,7,NA,3,Pre
10,77,4,4,4,0,0,Pre
10,78,3,0,3,NA,0,Pre
10,79,6,6,5,0,-1,Pre
10,8,3,3,4,0,1,Pre
10,80,3,6,3,3,0,Pre
10,81,3,1,3,-2,0,Pre
10,9,2,2,3,0,1,Pre
11,10,3,6,6,3,3,Pre
11,11,4,0,4,NA,0,Pre
11,12,4,6,6,2,2,Pre
11,13,3,5,3,2,0,Pre
11,14,2,5,2,3,0,Pre
11,15,3,5,3,2,0,Pre
11,16,4,6,4,2,0,Pre
11,17,3,3,3,0,0,Pre
11,18,6,6,8,0,2,Pre
11,19,6,8,3,2,-3,Pre
11,2,4,6,4,2,0,Pre
11,20,7,4,6,-3,-1,Pre
11,21,1,4,1,3,0,Pre
11,22,1,1,2,0,1,Pre
11,23,5,0,6,NA,1,Pre
11,24,3,3,6,0,3,Pre
11,25,4,4,4,0,0,Pre
11,26,6,0,8,NA,2,Pre
11,27,2,4,1,2,-1,Pre
11,28,7,7,4,0,-3,Pre
11,29,6,8,7,2,1,Pre
11,3,5,3,4,-2,-1,Pre
11,30,4,4,5,0,1,Pre
11,31,6,6,6,0,0,Pre
11,32,4,7,4,3,0,Pre
11,33,3,5,2,2,-1,Pre
11,34,3,0,4,NA,1,Pre
11,35,7,4,5,-3,-2,Pre
11,36,1,4,2,3,1,Pre
11,37,5,0,4,NA,-1,Pre
11,38,1,1,1,0,0,Pre
11,39,5,5,4,0,-1,Pre
11,4,5,2,6,-3,1,Pre
11,40,1,1,2,0,1,Pre
11,41,6,0,4,NA,-2,Pre
11,42,2,2,4,0,2,Pre
11,43,3,6,4,3,1,Pre
11,44,6,8,3,2,-3,Pre
11,45,4,0,5,NA,1,Pre
11,46,4,4,7,0,3,Pre
11,47,6,6,7,0,1,Pre
11,48,3,5,2,2,-1,Pre
11,49,4,6,2,2,-2,Pre
11,5,3,1,3,-2,0,Pre
11,50,4,0,4,NA,0,Pre
11,51,4,2,1,-2,-3,Pre
11,52,2,4,2,2,0,Pre
11,53,6,6,6,0,0,Pre
11,54,4,4,7,0,3,Pre
11,55,4,1,4,-3,0,Pre
11,56,8,5,8,-3,0,Pre
11,57,4,2,3,-2,-1,Pre
11,58,2,2,2,0,0,Pre
11,59,5,3,4,-2,-1,Pre
11,6,1,3,2,2,1,Pre
11,60,4,7,4,3,0,Pre
11,61,6,6,6,0,0,Pre
11,62,2,2,1,0,-1,Pre
11,63,5,8,7,3,2,Pre
