condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement
1,1,1,1,1,0,11001.jpg,1,3,0,0,0,-100,13475,1,1,1.5,1
1,1,1,1,2,0,00000.jpg,1,1,0,0,1,0,16153,1,1,1.5,1
1,1,1,1,3,0,10101.jpg,3,3,1,0,1,100,7515,1,1,1.5,1
1,1,1,1,4,0,01011.jpg,2,2,0,1,1,200,3768,1,1,1.5,1
1,1,1,1,5,0,11011.jpg,2,4,0,1,0,100,7377,1,1,1.5,1
1,1,1,1,6,0,00011.jpg,2,2,0,1,1,200,9747,1,1,1.5,1
1,1,1,1,7,0,11111.jpg,4,2,1,1,0,100,12758,1,1,1.5,1
1,1,1,1,8,0,10000.jpg,1,3,0,0,0,0,25646,1,1,1.5,1
1,1,1,1,9,0,01001.jpg,1,1,0,0,1,100,3109,1,1,1.5,1
1,1,1,1,10,0,00000.jpg,1,1,0,0,1,200,10906,1,1,1.5,1
1,1,1,1,11,0,11011.jpg,2,2,0,1,1,300,30238,1,1,1.5,1
1,1,1,1,12,0,11111.jpg,4,4,1,1,1,400,6421,1,1,1.5,1
1,1,1,1,13,0,10011.jpg,2,2,0,1,1,500,4029,1,1,1.5,1
1,1,1,1,14,0,00111.jpg,2,2,0,1,1,600,52619,1,1,1.5,1
1,1,1,1,15,0,10000.jpg,1,1,0,0,1,700,8004,1,1,1.5,1
1,1,1,1,16,0,00110.jpg,2,2,0,1,1,800,8948,1,1,1.5,1
1,1,1,1,17,0,01001.jpg,1,1,0,0,1,900,34334,1,1,1.5,1
1,1,1,1,18,0,10101.jpg,3,3,1,0,1,1000,8673,1,1,1.5,1
1,1,1,1,19,0,01111.jpg,2,2,0,1,1,1100,22833,1,1,1.5,1
1,1,1,1,20,0,10111.jpg,4,4,1,1,1,1200,5943,1,1,1.5,1
1,1,1,1,21,0,01011.jpg,2,2,0,1,1,1300,10305,1,1,1.5,1
1,1,1,1,22,0,00001.jpg,1,1,0,0,1,1400,9030,1,1,1.5,1
1,1,1,1,23,0,01111.jpg,2,2,0,1,1,1500,11110,1,1,1.5,1
1,1,1,1,24,0,01101.jpg,1,1,0,0,1,1600,22177,1,1,1.5,1
1,1,1,1,25,0,00010.jpg,2,2,0,1,1,1700,16332,1,1,1.5,1
1,1,1,1,26,0,10100.jpg,3,3,1,0,1,1800,5319,1,1,1.5,1
