"","subject","cycle","trial","spots","eyes","legs","arms","color","category","response","dangerous","nutricious","correct","cumulative","RT","choices_simple","performance"
"1",1,1,1,1,1,0,1,1,2,3,0,1,0,-100,14848,1,0
"2",1,1,2,0,1,1,1,1,2,2,0,1,1,0,8727,0,0.5
"3",1,1,3,0,1,1,1,0,2,2,0,1,1,100,2980,0,0.666666666666667
"4",1,1,4,0,0,1,0,0,1,1,0,0,1,200,11365,0,0.75
"5",1,1,5,1,0,0,1,1,2,4,0,1,0,100,2954,1,0.6
"6",1,1,6,0,0,1,1,0,2,2,0,1,1,200,2659,0,0.666666666666667
"7",1,1,7,0,1,0,1,1,2,2,0,1,1,300,3570,0,0.714285714285714
"8",1,1,8,0,0,0,0,1,1,1,0,0,1,400,1780,0,0.75
"9",1,1,9,1,1,1,1,0,4,2,1,1,0,300,4774,0,0.666666666666667
"10",1,1,10,0,1,1,0,1,1,1,0,0,1,400,3607,0,0.7
"11",1,1,11,0,1,1,1,1,2,2,0,1,1,500,1399,0,0.727272727272727
"12",1,1,12,1,1,0,0,0,1,3,0,0,0,400,3776,1,0.666666666666667
"13",1,1,13,1,1,0,1,0,2,4,0,1,0,300,4058,1,0.615384615384615
"14",1,1,14,0,1,1,1,1,2,2,0,1,1,400,8919,0,0.642857142857143
"15",1,1,15,1,0,0,0,1,1,1,0,0,1,500,2220,0,0.666666666666667
"16",1,1,16,1,1,1,1,1,4,4,1,1,1,600,4860,1,0.6875
"17",1,1,17,0,0,0,1,0,2,2,0,1,1,700,2401,0,0.705882352941177
"18",1,1,18,0,0,1,0,1,1,1,0,0,1,800,1530,0,0.722222222222222
"19",1,1,19,1,1,1,0,0,3,1,1,0,0,700,1446,0,0.684210526315789
"20",1,1,20,1,1,1,0,1,3,3,1,0,1,800,2533,1,0.7
"21",1,1,21,1,1,1,1,1,4,4,1,1,1,900,3081,1,0.714285714285714
"22",1,1,22,0,0,0,1,0,2,2,0,1,1,1000,1708,0,0.727272727272727
"23",1,1,23,0,0,0,1,0,2,2,0,1,1,1100,1466,0,0.739130434782609
"24",1,1,24,1,0,1,1,1,4,4,1,1,1,1200,3129,1,0.75
"25",1,1,25,1,0,1,1,1,4,4,1,1,1,1300,1082,1,0.76
"26",1,1,26,0,1,1,0,0,1,1,0,0,1,1400,3623,0,0.769230769230769
"27",1,1,27,0,1,0,0,0,1,1,0,0,1,1500,1288,0,0.777777777777778
"28",1,1,28,0,0,1,0,0,1,1,0,0,1,1600,1324,0,0.785714285714286
"29",1,1,29,0,1,0,1,1,2,2,0,1,1,1700,1353,0,0.793103448275862
"30",1,1,30,1,1,0,0,1,1,1,0,0,1,1800,1212,0,0.8
"31",1,1,31,0,1,0,1,1,2,2,0,1,1,1900,1212,0,0.806451612903226
"32",1,1,32,0,1,0,1,0,2,2,0,1,1,2000,1084,0,0.8125
"33",1,2,33,1,0,1,1,0,4,4,1,1,1,2100,2746,1,0.818181818181818
"34",1,2,34,1,0,1,1,0,4,4,1,1,1,2200,1572,1,0.823529411764706
"35",1,2,35,0,0,1,0,1,1,1,0,0,1,2300,1325,0,0.828571428571429
"36",1,2,36,1,1,0,0,0,1,1,0,0,1,2400,1593,0,0.833333333333333
"37",1,2,37,1,1,0,0,0,1,1,0,0,1,2500,1051,0,0.837837837837838
"38",1,2,38,0,0,0,0,0,1,1,0,0,1,2600,882,0,0.842105263157895
"39",1,2,39,0,1,0,0,1,1,1,0,0,1,2700,872,0,0.846153846153846
"40",1,2,40,0,0,1,1,1,2,2,0,1,1,2800,1990,0,0.85
"41",1,2,41,1,0,1,0,1,3,1,1,0,0,2700,2039,0,0.829268292682927
"42",1,2,42,0,0,1,1,0,2,2,0,1,1,2800,6063,0,0.833333333333333
"43",1,2,43,0,1,0,0,1,1,1,0,0,1,2900,1132,0,0.837209302325581
"44",1,2,44,1,0,0,1,0,2,4,0,1,0,2800,3170,1,0.818181818181818
"45",1,2,45,1,1,1,0,1,3,1,1,0,0,2700,2348,0,0.8
"46",1,2,46,1,0,0,0,0,1,1,0,0,1,2800,2630,0,0.804347826086957
"47",1,2,47,1,0,0,0,0,1,1,0,0,1,2900,1622,0,0.808510638297872
"48",1,2,48,1,0,1,0,0,3,4,1,0,0,2800,2727,1,0.791666666666667
"49",1,2,49,0,1,0,1,0,2,2,0,1,1,2900,5026,0,0.795918367346939
"50",1,2,50,1,0,0,1,0,2,4,0,1,0,2800,3243,1,0.78
"51",1,2,51,0,1,1,0,0,1,1,0,0,1,2900,3066,0,0.784313725490196
"52",1,2,52,1,0,1,0,0,3,4,1,0,0,2800,8281,1,0.769230769230769
"53",1,2,53,1,0,1,0,0,3,3,1,0,1,2900,3758,1,0.773584905660377
"54",1,2,54,0,0,1,0,0,1,1,0,0,1,3000,2419,0,0.777777777777778
"55",1,2,55,1,1,1,0,0,3,4,1,0,0,2900,5090,1,0.763636363636364
"56",1,2,56,0,0,0,0,1,1,1,0,0,1,3000,1223,0,0.767857142857143
"57",1,2,57,0,1,0,0,1,1,1,0,0,1,3100,1231,0,0.771929824561403
"58",1,2,58,1,1,0,0,1,1,1,0,0,1,3200,1079,0,0.775862068965517
"59",1,2,59,1,1,1,1,0,4,4,1,1,1,3300,2373,1,0.779661016949153
"60",1,2,60,0,1,1,1,0,2,4,0,1,0,3200,5327,1,0.766666666666667
"61",1,2,61,0,0,1,1,1,2,2,0,1,1,3300,2227,0,0.770491803278688
"62",1,2,62,1,1,1,1,0,4,4,1,1,1,3400,3138,1,0.774193548387097
"63",1,2,63,1,0,0,1,1,2,2,0,1,1,3500,1205,0,0.777777777777778
"64",1,2,64,0,1,0,0,0,1,1,0,0,1,3600,1158,0,0.78125
"65",1,3,65,1,0,0,0,0,1,1,0,0,1,3700,1345,0,0.784615384615385
"66",1,3,66,0,1,0,1,0,2,2,0,1,1,3800,1180,0,0.787878787878788
"67",1,3,67,1,1,1,0,0,3,1,1,0,0,3700,2182,0,0.776119402985075
"68",1,3,68,1,1,1,0,1,3,3,1,0,1,3800,1368,1,0.779411764705882
"69",1,3,69,0,0,1,1,0,2,2,0,1,1,3900,1602,0,0.782608695652174
"70",1,3,70,0,0,0,0,1,1,1,0,0,1,4000,1260,0,0.785714285714286
